[2025-09-05 11:21:35] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:35] <INFO> octopus v0.5.2-beta
[2025-09-05 11:21:35] <INFO> Copyright (c) 2015-2018 University of Oxford
[2025-09-05 11:21:35] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:45] <INFO> Done initialising calling components in 10s
[2025-09-05 11:21:45] <INFO> Detected 1 sample: "SW620bc_DSIVb_L_DATAC_L10-SW620bc_DSIVb"
[2025-09-05 11:21:45] <INFO> Invoked calling model: individual
[2025-09-05 11:21:45] <INFO> Processing 3,101,804,739bp with a single thread
[2025-09-05 11:21:45] <INFO> Writing filtered calls to "/data/scratch/DMP/UCEC/GENEVOD/qguo/Projects/lp_mut/results/sample2/Variants_Octopus_v0.5.2/sample2.octopus.vcf.tmp"
[2025-09-05 11:21:45] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:45] <INFO>      current      |                   |     time      |     estimated   
[2025-09-05 11:21:45] <INFO>      position     |     completed     |     taken     |     ttc         
[2025-09-05 11:21:45] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:22:08] <INFO>      5:17608737            29.0%              23s             1m 9s
[2025-09-05 11:22:08] <INFO>      5:21544627            29.1%              23s             1m 9s
[2025-09-05 11:22:08] <INFO>      5:25171126            29.2%              23s             1m 8s
[2025-09-05 11:22:08] <INFO>      5:31872725            29.5%              23s             1m 7s
[2025-09-05 11:22:08] <INFO>      5:41434604            29.8%              23s             1m 6s
[2025-09-05 11:22:08] <INFO>      5:51560434            30.1%              23s             1m 5s
[2025-09-05 11:22:08] <INFO>      5:64666270            30.5%              23s             1m 4s
[2025-09-05 11:22:08] <INFO>      5:68086186            30.6%              23s             1m 3s
[2025-09-05 11:22:08] <INFO>      5:72340312            30.8%              23s             1m 3s
[2025-09-05 11:22:08] <INFO>      5:80202203            31.0%              23s             1m 2s
[2025-09-05 11:22:08] <INFO>      5:86702677            31.2%              23s             1m 2s
[2025-09-05 11:22:08] <INFO>      5:98401308            31.6%              23s             1m 1s
[2025-09-05 11:22:08] <INFO>     5:106051971            31.8%              23s                1m
[2025-09-05 11:22:08] <INFO>     5:109487903            32.0%              23s                1m
[2025-09-05 11:22:08] <INFO>     5:112895629            32.1%              23s               59s
[2025-09-05 11:22:08] <INFO>     5:116829870            32.2%              23s               59s
[2025-09-05 11:22:08] <INFO>     5:125719822            32.5%              23s               58s
[2025-09-05 11:22:08] <INFO>     5:135534639            32.8%              23s               57s
[2025-09-05 11:22:08] <INFO>     5:150840775            33.3%              23s               56s
[2025-09-05 11:22:08] <INFO>     5:155816745            33.4%              23s               56s
[2025-09-05 11:22:08] <INFO>     5:165929564            33.8%              23s               55s
[2025-09-05 11:22:08] <INFO>     5:172636398            34.0%              23s               54s
[2025-09-05 11:22:08] <INFO>     5:176080560            34.1%              23s               54s
[2025-09-05 11:22:08] <INFO>     5:180915260            34.3%              23s               54s
[2025-09-05 11:22:11] <INFO>       6:4387048            34.4%              26s             1m 1s
[2025-09-05 11:22:11] <INFO>       6:8024683            34.5%              26s                1m
[2025-09-05 11:22:11] <INFO>      6:14234971            34.7%              26s                1m
[2025-09-05 11:22:11] <INFO>      6:18142970            34.8%              26s                1m
[2025-09-05 11:22:11] <INFO>      6:21732137            35.0%              26s               59s
[2025-09-05 11:22:11] <INFO>      6:30106296            35.2%              26s               59s
[2025-09-05 11:22:11] <INFO>      6:36218219            35.4%              26s               58s
[2025-09-05 11:22:11] <INFO>      6:40532893            35.6%              26s               58s
[2025-09-05 11:22:11] <INFO>      6:47564204            35.8%              26s               57s
[2025-09-05 11:22:11] <INFO>      6:55932935            36.1%              26s               57s
[2025-09-05 11:22:12] <INFO>      6:63426649            36.3%              26s               56s
[2025-09-05 11:22:12] <INFO>      6:71457074            36.6%              26s               56s
[2025-09-05 11:22:12] <INFO>      6:89002088            37.1%              26s               54s
[2025-09-05 11:22:12] <INFO>      6:96568247            37.4%              26s               54s
[2025-09-05 11:22:12] <INFO>     6:105352035            37.7%              26s               53s
[2025-09-05 11:22:12] <INFO>     6:112524506            37.9%              26s               52s
[2025-09-05 11:22:12] <INFO>     6:118505571            38.1%              26s               52s
[2025-09-05 11:22:12] <INFO>     6:123592184            38.2%              26s               52s
[2025-09-05 11:22:12] <INFO>     6:132044942            38.5%              26s               51s
[2025-09-05 11:22:12] <INFO>     6:136326330            38.7%              26s               51s
[2025-09-05 11:22:12] <INFO>     6:139887037            38.8%              26s               51s
[2025-09-05 11:22:12] <INFO>     6:152775813            39.2%              26s               50s
[2025-09-05 11:22:12] <INFO>     6:159220979            39.4%              26s               49s
[2025-09-05 11:22:12] <INFO>     6:166823764            39.6%              26s               49s
[2025-09-05 11:22:12] <INFO>     6:170360085            39.7%              26s               49s
[2025-09-05 11:22:15] <INFO>       7:9097947            40.1%              29s               53s
[2025-09-05 11:22:15] <INFO>      7:16121864            40.3%              29s               53s
[2025-09-05 11:22:15] <INFO>      7:23376445            40.5%              29s               52s
[2025-09-05 11:22:15] <INFO>      7:30938801            40.8%              29s               52s
